,medical_school,short_name,cost_type,ownership,residence_status,insurance_required,insurance_waived,cost,year
3021,Boston University School of Medicine,Boston,Health Insurance,Private,Nonresident,,,1563.0,2002.0
3022,Boston University School of Medicine,Boston,Fees,Private,Resident,,,450.0,2002.0
3023,Boston University School of Medicine,Boston,Fees,Private,Nonresident,,,450.0,2002.0
3024,Brody School of Medicine at East Carolina University,East Carolina-Brody,"Tuition, Fees, and Health Insurance",Public,Resident,,,4795.0,2002.0
3025,Brody School of Medicine at East Carolina University,East Carolina-Brody,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,,2002.0
3026,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Resident,,,3437.0,2002.0
3027,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Nonresident,,,,2002.0
3028,Brody School of Medicine at East Carolina University,East Carolina-Brody,Health Insurance,Public,Resident,,,1262.0,2002.0
3029,Brody School of Medicine at East Carolina University,East Carolina-Brody,Health Insurance,Public,Nonresident,,,,2002.0
3030,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Resident,,,1358.0,2002.0
3031,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Nonresident,,,,2002.0
3032,Case Western Reserve University School of Medicine,Case Western Reserve,"Tuition, Fees, and Health Insurance",Private,Resident,,,36379.0,2002.0
3033,Case Western Reserve University School of Medicine,Case Western Reserve,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,36379.0,2002.0
3034,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Resident,,,35000.0,2002.0
3035,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Nonresident,,,35000.0,2002.0
3036,Case Western Reserve University School of Medicine,Case Western Reserve,Health Insurance,Private,Resident,,,874.0,2002.0
3037,Case Western Reserve University School of Medicine,Case Western Reserve,Health Insurance,Private,Nonresident,,,874.0,2002.0
3038,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Resident,,,1379.0,2002.0
3039,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Nonresident,,,1379.0,2002.0
3040,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,"Tuition, Fees, and Health Insurance",Private,Resident,,,36860.0,2002.0
3041,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,36860.0,2002.0
3042,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Resident,,,36740.0,2002.0
3043,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Nonresident,,,36740.0,2002.0
3044,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Health Insurance,Private,Resident,,,1643.0,2002.0
3045,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Health Insurance,Private,Nonresident,,,1643.0,2002.0
3046,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Resident,,,120.0,2002.0
3047,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Nonresident,,,120.0,2002.0
3048,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,"Tuition, Fees, and Health Insurance",Private,Resident,,,38100.0,2002.0
3049,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,38100.0,2002.0
3050,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Resident,,,34077.0,2002.0
3051,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Nonresident,,,34077.0,2002.0
3052,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Health Insurance,Private,Resident,,,0.0,2002.0
3053,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Health Insurance,Private,Nonresident,,,0.0,2002.0
3054,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Resident,,,4023.0,2002.0
3055,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Nonresident,,,4023.0,2002.0
3056,Creighton University School of Medicine,Creighton,"Tuition, Fees, and Health Insurance",Private,Resident,,,34202.0,2002.0
3057,Creighton University School of Medicine,Creighton,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,34202.0,2002.0
3058,Creighton University School of Medicine,Creighton,Tuition,Private,Resident,,,33520.0,2002.0
3059,Creighton University School of Medicine,Creighton,Tuition,Private,Nonresident,,,33520.0,2002.0
3060,Creighton University School of Medicine,Creighton,Health Insurance,Private,Resident,,,1250.0,2002.0
3061,Creighton University School of Medicine,Creighton,Health Insurance,Private,Nonresident,,,1250.0,2002.0
3062,Creighton University School of Medicine,Creighton,Fees,Private,Resident,,,682.0,2002.0
3063,Creighton University School of Medicine,Creighton,Fees,Private,Nonresident,,,682.0,2002.0
3064,Drexel University College of Medicine,Drexel,"Tuition, Fees, and Health Insurance",Private,Resident,,,32622.0,2002.0
3065,Drexel University College of Medicine,Drexel,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,32622.0,2002.0
3066,Drexel University College of Medicine,Drexel,Tuition,Private,Resident,,,31670.0,2002.0
3067,Drexel University College of Medicine,Drexel,Tuition,Private,Nonresident,,,31670.0,2002.0
3068,Drexel University College of Medicine,Drexel,Health Insurance,Private,Resident,,,1800.0,2002.0
3069,Drexel University College of Medicine,Drexel,Health Insurance,Private,Nonresident,,,1800.0,2002.0
3070,Drexel University College of Medicine,Drexel,Fees,Private,Resident,,,952.0,2002.0
3071,Drexel University College of Medicine,Drexel,Fees,Private,Nonresident,,,952.0,2002.0
3072,Duke University School of Medicine,Duke,"Tuition, Fees, and Health Insurance",Private,Resident,,,31695.0,2002.0
3073,Duke University School of Medicine,Duke,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,31695.0,2002.0
3074,Duke University School of Medicine,Duke,Tuition,Private,Resident,,,29706.0,2002.0
3075,Duke University School of Medicine,Duke,Tuition,Private,Nonresident,,,29706.0,2002.0
3076,Duke University School of Medicine,Duke,Health Insurance,Private,Resident,,,902.0,2002.0
3077,Duke University School of Medicine,Duke,Health Insurance,Private,Nonresident,,,902.0,2002.0
3078,Duke University School of Medicine,Duke,Fees,Private,Resident,,,1087.0,2002.0
3079,Duke University School of Medicine,Duke,Fees,Private,Nonresident,,,1087.0,2002.0
3080,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,"Tuition, Fees, and Health Insurance",Public,Resident,,,15886.0,2002.0
3081,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,30828.0,2002.0
3082,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Resident,,,14390.0,2002.0
3083,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Nonresident,,,29332.0,2002.0
3084,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Health Insurance,Public,Resident,,,895.0,2002.0
3085,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Health Insurance,Public,Nonresident,,,895.0,2002.0
3086,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Resident,,,601.0,2002.0
3087,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Nonresident,,,601.0,2002.0
3088,Eastern Virginia Medical School,Eastern Virginia,"Tuition, Fees, and Health Insurance",Public,Resident,,,19225.0,2002.0
3089,Eastern Virginia Medical School,Eastern Virginia,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,33225.0,2002.0
3090,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Resident,,,16500.0,2002.0
3091,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Nonresident,,,30500.0,2002.0
3092,Eastern Virginia Medical School,Eastern Virginia,Health Insurance,Public,Resident,,,1290.0,2002.0
3093,Eastern Virginia Medical School,Eastern Virginia,Health Insurance,Public,Nonresident,,,1290.0,2002.0
3094,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Resident,,,2725.0,2002.0
3095,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Nonresident,,,2725.0,2002.0
3096,Emory University School of Medicine,Emory,"Tuition, Fees, and Health Insurance",Private,Resident,,,31497.0,2002.0
3097,Emory University School of Medicine,Emory,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,31497.0,2002.0
3098,Emory University School of Medicine,Emory,Tuition,Private,Resident,,,31025.0,2002.0
3099,Emory University School of Medicine,Emory,Tuition,Private,Nonresident,,,31025.0,2002.0
3100,Emory University School of Medicine,Emory,Health Insurance,Private,Resident,,,1000.0,2002.0
3101,Emory University School of Medicine,Emory,Health Insurance,Private,Nonresident,,,1000.0,2002.0
3102,Emory University School of Medicine,Emory,Fees,Private,Resident,,,472.0,2002.0
3103,Emory University School of Medicine,Emory,Fees,Private,Nonresident,,,472.0,2002.0
3104,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,"Tuition, Fees, and Health Insurance",Private,Resident,,,31718.0,2002.0
3105,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,31718.0,2002.0
3106,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Resident,,,30100.0,2002.0
3107,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Nonresident,,,30100.0,2002.0
3108,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Health Insurance,Private,Resident,,,1260.0,2002.0
3109,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Health Insurance,Private,Nonresident,,,1260.0,2002.0
3110,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Resident,,,1618.0,2002.0
3111,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Nonresident,,,1618.0,2002.0
3112,George Washington University School of Medicine and Health Sciences,George Washington,"Tuition, Fees, and Health Insurance",Private,Resident,,,37784.0,2002.0
3113,George Washington University School of Medicine and Health Sciences,George Washington,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,37784.0,2002.0
3114,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Resident,,,36192.0,2002.0
3115,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Nonresident,,,36192.0,2002.0
3116,George Washington University School of Medicine and Health Sciences,George Washington,Health Insurance,Private,Resident,,,1655.0,2002.0
3117,George Washington University School of Medicine and Health Sciences,George Washington,Health Insurance,Private,Nonresident,,,1655.0,2002.0
3118,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Resident,,,1592.0,2002.0
3119,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Nonresident,,,1592.0,2002.0
3120,Georgetown University School of Medicine,Georgetown,"Tuition, Fees, and Health Insurance",Private,Resident,,,31807.0,2002.0
3121,Georgetown University School of Medicine,Georgetown,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,31807.0,2002.0
3122,Georgetown University School of Medicine,Georgetown,Tuition,Private,Resident,,,31764.0,2002.0
3123,Georgetown University School of Medicine,Georgetown,Tuition,Private,Nonresident,,,31764.0,2002.0
3124,Georgetown University School of Medicine,Georgetown,Health Insurance,Private,Resident,,,1243.0,2002.0
3125,Georgetown University School of Medicine,Georgetown,Health Insurance,Private,Nonresident,,,1243.0,2002.0
3126,Georgetown University School of Medicine,Georgetown,Fees,Private,Resident,,,43.0,2002.0
3127,Georgetown University School of Medicine,Georgetown,Fees,Private,Nonresident,,,43.0,2002.0
3128,Harvard Medical School,Harvard,"Tuition, Fees, and Health Insurance",Private,Resident,,,32708.0,2002.0
3129,Harvard Medical School,Harvard,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,32708.0,2002.0
3130,Harvard Medical School,Harvard,Tuition,Private,Resident,,,30500.0,2002.0
3131,Harvard Medical School,Harvard,Tuition,Private,Nonresident,,,30500.0,2002.0
3132,Harvard Medical School,Harvard,Health Insurance,Private,Resident,,,1770.0,2002.0
3133,Harvard Medical School,Harvard,Health Insurance,Private,Nonresident,,,1770.0,2002.0
3134,Harvard Medical School,Harvard,Fees,Private,Resident,,,2208.0,2002.0
3135,Harvard Medical School,Harvard,Fees,Private,Nonresident,,,2208.0,2002.0
3136,Howard University College of Medicine,Howard,"Tuition, Fees, and Health Insurance",Private,Resident,,,21968.0,2002.0
3137,Howard University College of Medicine,Howard,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,21968.0,2002.0
3138,Howard University College of Medicine,Howard,Tuition,Private,Resident,,,18700.0,2002.0
3139,Howard University College of Medicine,Howard,Tuition,Private,Nonresident,,,18700.0,2002.0
3140,Howard University College of Medicine,Howard,Health Insurance,Private,Resident,,,,2002.0
3141,Howard University College of Medicine,Howard,Health Insurance,Private,Nonresident,,,,2002.0
3142,Howard University College of Medicine,Howard,Fees,Private,Resident,,,3268.0,2002.0
3143,Howard University College of Medicine,Howard,Fees,Private,Nonresident,,,3268.0,2002.0
3144,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,"Tuition, Fees, and Health Insurance",Private,Resident,,,29850.0,2002.0
3145,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,29850.0,2002.0
3146,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Resident,,,28250.0,2002.0
3147,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Nonresident,,,28250.0,2002.0
3148,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Health Insurance,Private,Resident,,,850.0,2002.0
3149,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Health Insurance,Private,Nonresident,,,850.0,2002.0
3150,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Resident,,,1600.0,2002.0
3151,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Nonresident,,,1600.0,2002.0
3152,Indiana University School of Medicine,Indiana,"Tuition, Fees, and Health Insurance",Public,Resident,,,19495.0,2002.0
3153,Indiana University School of Medicine,Indiana,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,37432.0,2002.0
3154,Indiana University School of Medicine,Indiana,Tuition,Public,Resident,,,17136.0,2002.0
3155,Indiana University School of Medicine,Indiana,Tuition,Public,Nonresident,,,35073.0,2002.0
3156,Indiana University School of Medicine,Indiana,Health Insurance,Public,Resident,,,1326.0,2002.0
3157,Indiana University School of Medicine,Indiana,Health Insurance,Public,Nonresident,,,1326.0,2002.0
3158,Indiana University School of Medicine,Indiana,Fees,Public,Resident,,,2359.0,2002.0
3159,Indiana University School of Medicine,Indiana,Fees,Public,Nonresident,,,2359.0,2002.0
3160,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,"Tuition, Fees, and Health Insurance",Public,Resident,,,15980.0,2002.0
3161,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,28080.0,2002.0
3162,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Resident,,,14840.0,2002.0
3163,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Nonresident,,,26940.0,2002.0
3164,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Health Insurance,Public,Resident,,,0.0,2002.0
3165,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Health Insurance,Public,Nonresident,,,0.0,2002.0
3166,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Resident,,,1140.0,2002.0
3167,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Nonresident,,,1140.0,2002.0
3168,Johns Hopkins University School of Medicine,Johns Hopkins,"Tuition, Fees, and Health Insurance",Private,Resident,,,32113.0,2002.0
3169,Johns Hopkins University School of Medicine,Johns Hopkins,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,32113.0,2002.0
3170,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Resident,,,29200.0,2002.0
3171,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Nonresident,,,29200.0,2002.0
3172,Johns Hopkins University School of Medicine,Johns Hopkins,Health Insurance,Private,Resident,,,1493.0,2002.0
3173,Johns Hopkins University School of Medicine,Johns Hopkins,Health Insurance,Private,Nonresident,,,1493.0,2002.0
3174,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Resident,,,2913.0,2002.0
3175,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Nonresident,,,2913.0,2002.0
3176,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,"Tuition, Fees, and Health Insurance",Private,Resident,,,36184.0,2002.0
3177,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,36184.0,2002.0
3178,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Resident,,,35052.0,2002.0
3179,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Nonresident,,,35052.0,2002.0
3180,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Health Insurance,Private,Resident,,,594.0,2002.0
3181,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Health Insurance,Private,Nonresident,,,594.0,2002.0
3182,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Resident,,,1132.0,2002.0
3183,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Nonresident,,,1132.0,2002.0
3184,Lewis Katz School of Medicine at Temple University,Temple-Katz,"Tuition, Fees, and Health Insurance",Private,Resident,,,28731.0,2002.0
3185,Lewis Katz School of Medicine at Temple University,Temple-Katz,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,34877.0,2002.0
3186,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Resident,,,28056.0,2002.0
3187,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Nonresident,,,34202.0,2002.0
3188,Lewis Katz School of Medicine at Temple University,Temple-Katz,Health Insurance,Private,Resident,,,967.0,2002.0
3189,Lewis Katz School of Medicine at Temple University,Temple-Katz,Health Insurance,Private,Nonresident,,,967.0,2002.0
3190,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Resident,,,675.0,2002.0
3191,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Nonresident,,,675.0,2002.0
3192,Loma Linda University School of Medicine,Loma Linda,"Tuition, Fees, and Health Insurance",Private,Resident,,,30400.0,2002.0
3193,Loma Linda University School of Medicine,Loma Linda,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,30400.0,2002.0
3194,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Resident,,,28992.0,2002.0
3195,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Nonresident,,,28992.0,2002.0
3196,Loma Linda University School of Medicine,Loma Linda,Health Insurance,Private,Resident,,,,2002.0
3197,Loma Linda University School of Medicine,Loma Linda,Health Insurance,Private,Nonresident,,,,2002.0
3198,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Resident,,,1408.0,2002.0
3199,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Nonresident,,,1408.0,2002.0
3200,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,"Tuition, Fees, and Health Insurance",Public,Resident,,,13724.0,2002.0
3201,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,27872.0,2002.0
3202,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition,Public,Resident,,,10110.0,2002.0
3203,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition,Public,Nonresident,,,24258.0,2002.0
3204,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Health Insurance,Public,Resident,,,646.0,2002.0
3205,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Health Insurance,Public,Nonresident,,,646.0,2002.0
3206,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Fees,Public,Resident,,,3614.0,2002.0
3207,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Fees,Public,Nonresident,,,3614.0,2002.0
3208,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,"Tuition, Fees, and Health Insurance",Public,Resident,,,9068.0,2002.0
3209,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,23216.0,2002.0
3210,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Resident,,,8581.0,2002.0
3211,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Nonresident,,,22729.0,2002.0
3212,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Health Insurance,Public,Resident,,,970.0,2002.0
3213,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Health Insurance,Public,Nonresident,,,970.0,2002.0
3214,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Resident,,,487.0,2002.0
3215,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Nonresident,,,487.0,2002.0
3216,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,"Tuition, Fees, and Health Insurance",Private,Resident,,,32100.0,2002.0
3217,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,32100.0,2002.0
3218,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Resident,,,31400.0,2002.0
3219,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Nonresident,,,31400.0,2002.0
3220,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Health Insurance,Private,Resident,,,1100.0,2002.0
3221,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Health Insurance,Private,Nonresident,,,1100.0,2002.0
3222,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Resident,,,700.0,2002.0
3223,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Nonresident,,,700.0,2002.0
3224,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,"Tuition, Fees, and Health Insurance",Public,Resident,,,11596.0,2002.0
3225,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,29526.0,2002.0
3226,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Resident,,,11080.0,2002.0
3227,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Nonresident,,,29010.0,2002.0
3228,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Health Insurance,Public,Resident,,,0.0,2002.0
3229,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Health Insurance,Public,Nonresident,,,0.0,2002.0
3230,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Fees,Public,Resident,,,516.0,2002.0
3231,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Fees,Public,Nonresident,,,516.0,2002.0
3232,Mayo Clinic Alix School of Medicine,Mayo-Alix,"Tuition, Fees, and Health Insurance",Private,Resident,,,21500.0,2002.0
3233,Mayo Clinic Alix School of Medicine,Mayo-Alix,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,21500.0,2002.0
3234,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition,Private,Resident,,,21500.0,2002.0
3235,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition,Private,Nonresident,,,21500.0,2002.0
3236,Mayo Clinic Alix School of Medicine,Mayo-Alix,Health Insurance,Private,Resident,,,0.0,2002.0
3237,Mayo Clinic Alix School of Medicine,Mayo-Alix,Health Insurance,Private,Nonresident,,,0.0,2002.0
3238,Mayo Clinic Alix School of Medicine,Mayo-Alix,Fees,Private,Resident,,,0.0,2002.0
3239,Mayo Clinic Alix School of Medicine,Mayo-Alix,Fees,Private,Nonresident,,,0.0,2002.0
3240,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,"Tuition, Fees, and Health Insurance",Public,Resident,,,9242.0,2002.0
3241,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,22342.0,2002.0
3242,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition,Public,Resident,,,7750.0,2002.0
3243,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition,Public,Nonresident,,,20850.0,2002.0
3244,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Health Insurance,Public,Resident,,,,2002.0
3245,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Health Insurance,Public,Nonresident,,,,2002.0
3246,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Fees,Public,Resident,,,1492.0,2002.0
3247,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Fees,Public,Nonresident,,,1492.0,2002.0
3248,Medical College of Georgia at Augusta University,MC Georgia Augusta,"Tuition, Fees, and Health Insurance",Public,Resident,,,10328.0,2002.0
3249,Medical College of Georgia at Augusta University,MC Georgia Augusta,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,35876.0,2002.0
3250,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition,Public,Resident,,,8516.0,2002.0
3251,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition,Public,Nonresident,,,34064.0,2002.0
3252,Medical College of Georgia at Augusta University,MC Georgia Augusta,Health Insurance,Public,Resident,,,864.0,2002.0
3253,Medical College of Georgia at Augusta University,MC Georgia Augusta,Health Insurance,Public,Nonresident,,,864.0,2002.0
3254,Medical College of Georgia at Augusta University,MC Georgia Augusta,Fees,Public,Resident,,,1812.0,2002.0
3255,Medical College of Georgia at Augusta University,MC Georgia Augusta,Fees,Public,Nonresident,,,1812.0,2002.0
3256,Medical College of Wisconsin,MC Wisconsin,"Tuition, Fees, and Health Insurance",Private,Resident,,,21788.0,2002.0
3257,Medical College of Wisconsin,MC Wisconsin,"Tuition, Fees, and Health Insurance",Private,Nonresident,,,31879.0,2002.0
3258,Medical College of Wisconsin,MC Wisconsin,Tuition,Private,Resident,,,20152.0,2002.0
3259,Medical College of Wisconsin,MC Wisconsin,Tuition,Private,Nonresident,,,30243.0,2002.0
3260,Medical College of Wisconsin,MC Wisconsin,Health Insurance,Private,Resident,,,1591.0,2002.0
3261,Medical College of Wisconsin,MC Wisconsin,Health Insurance,Private,Nonresident,,,1591.0,2002.0
3262,Medical College of Wisconsin,MC Wisconsin,Fees,Private,Resident,,,45.0,2002.0
3263,Medical College of Wisconsin,MC Wisconsin,Fees,Private,Nonresident,,,45.0,2002.0
3264,Medical University of South Carolina College of Medicine,MU South Carolina,"Tuition, Fees, and Health Insurance",Public,Resident,,,13901.0,2002.0
3265,Medical University of South Carolina College of Medicine,MU South Carolina,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,38222.0,2002.0
3266,Medical University of South Carolina College of Medicine,MU South Carolina,Tuition,Public,Resident,,,4131.0,2002.0
